Rank;County;County_Seat;Total;White;Black;Hispanic;Other;latitude;longitude 
1;BERGEN;Hackensack;133898.00;67519.00;7367.00;33725.00;25287.00;40.9263;-74.077
2;MIDDLESEX;New Brunswick;125056.00;36713.00;12564.00;38084.00;37694.00;40.4111;-74.3587
3;ESSEX;Newark;116951.00;32049.00;42133.00;33622.00;9146.00;40.7947;-74.2649
4;MONMOUTH;Freehold;96649.00;64017.00;7719.00;16459.00;8453.00;40.2589;-74.124
5;UNION;Elizabeth;94166.00;30662.00;19069.00;37949.00;6485.00;40.6595;-74.2884
6;HUDSON;Jersey City;81188.00;13957.00;9321.00;49014.00;8896.00;40.7453;-74.0535
7;PASSAIC;Paterson;79741.00;23219.00;7944.00;43726.00;4852.00;41.1232;-74.3587
8;CAMDEN;Camden;76159.00;33986.00;17414.00;17053.00;7706.00;39.8592;-75.0144
9;MORRIS;Morristown;75102.00;48606.00;2374.00;13140.00;10981.00;40.8336;-74.5463
10;OCEAN;Toms River;68818.00;48803.00;3361.00;13423.00;3231.00;39.9653;-74.3118
11;BURLINGTON;Mount Holly;68319.00;41226.00;12855.00;7299.00;6939.00;39.8558;-74.6869
12;MERCER;Trenton;56347.00;18664.00;11127.00;13844.00;12711.00;40.3029;-74.7337
13;SOMERSET;Somerville;52191.00;23554.00;4954.00;10954.00;12728.00;40.5292;-74.64
14;GLOUCESTER;Woodbury;47394.00;33463.00;6534.00;4018.00;3378.00;39.7103;-75.1078
15;ATLANTIC;Mays Landing;43067.00;17454.00;7764.00;12859.00;4990.00;39.5333;-74.6869
16;CUMBERLAND;Bridgeton;26518.00;7567.00;5477.00;12367.00;1107.00;39.2587;-75.0611
17;SUSSEX;Newton;19932.00;16861.00;497.00;1846.00;727.00;41.1288;-74.6869
18;HUNTERDON;Flemington;19166.00;15677.00;496.00;1683.00;1310.00;40.567;-74.9209
19;WARREN;Belvidere;16201.00;11811.00;1177.00;2310.00;903.00;40.8842;-74.9209
20;CAPE MAY;Cape May;12454.00;9304.00;1010.00;1799.00;341.00;39.1059;-74.8273
21;SALEM;Salem;10951.00;6681.00;2170.00;1587.00;512.00;39.5849;-75.3879
